iter	Passed	Remaining
0	160	23883
1	226	16767
2	294	14444
3	364	13315
4	435	12629
5	504	12108
6	573	11711
7	645	11448
8	714	11201
9	786	11004
10	856	10821
11	925	10641
12	996	10499
13	1066	10356
14	1137	10239
15	1207	10113
16	1277	9990
17	1347	9878
18	1417	9771
19	1489	9682
20	1560	9583
21	1629	9478
22	1698	9380
23	1768	9284
24	1837	9189
25	1907	9094
26	1976	9005
27	2046	8916
28	2116	8832
29	2187	8751
30	2257	8664
31	2326	8580
32	2397	8501
33	2469	8423
34	2546	8365
35	2617	8287
36	2689	8215
37	2760	8135
38	2831	8058
39	2899	7974
40	2969	7895
41	3039	7815
42	3108	7735
43	3178	7658
44	3248	7580
45	3319	7504
46	3389	7426
47	3457	7347
48	3527	7271
49	3597	7194
50	3666	7116
51	3736	7042
52	3807	6968
53	3877	6893
54	3948	6819
55	4018	6744
56	4088	6670
57	4157	6595
58	4225	6517
59	4295	6443
60	4363	6367
61	4435	6295
62	4502	6218
63	4572	6144
64	4640	6067
65	4709	5994
66	4777	5918
67	4845	5842
68	4913	5768
69	4977	5688
70	5045	5614
71	5115	5542
72	5183	5467
73	5255	5397
74	5325	5325
75	5393	5251
76	5471	5187
77	5542	5115
78	5611	5043
79	5679	4969
80	5747	4895
81	5816	4823
82	5883	4749
83	5953	4677
84	6022	4605
85	6090	4532
86	6155	4457
87	6223	4384
88	6287	4309
89	6348	4232
90	6412	4157
91	6476	4083
92	6546	4012
93	6614	3940
94	6682	3869
95	6751	3797
96	6821	3727
97	6890	3655
98	6958	3584
99	7027	3513
100	7096	3442
101	7163	3371
102	7231	3300
103	7301	3229
104	7369	3158
105	7439	3088
106	7508	3017
107	7577	2946
108	7645	2875
109	7713	2804
110	7781	2733
111	7849	2663
112	7917	2592
113	7985	2521
114	8053	2451
115	8121	2380
116	8186	2308
117	8249	2237
118	8317	2166
119	8385	2096
120	8454	2026
121	8521	1955
122	8589	1885
123	8653	1814
124	8718	1743
125	8786	1673
126	8855	1603
127	8924	1533
128	8993	1464
129	9058	1393
130	9127	1323
131	9197	1254
132	9266	1184
133	9335	1114
134	9399	1044
135	9462	974
136	9528	904
137	9592	834
138	9655	764
139	9719	694
140	9783	624
141	9850	554
142	9919	485
143	9988	416
144	10051	346
145	10115	277
146	10177	207
147	10240	138
148	10303	69
149	10368	0
